"Source:","C:\Users\hueseyin.ilter\Documents\KiCad\6.0\projects\Magic Wand\Magic Wand.kicad_sch"
"Date:","11/14/2022 3:38:32 PM"
"Tool:","Eeschema (6.0.7)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","31"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"BT1, BT2, BT3, ","3","AAA 1.5V","Battery","Battery:BatteryHolder_Keystone_2466_1xAAA","Multiple-cell battery",""
"C1, C2, C5, C6, ","4","0.1uF","C_Small","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","Unpolarized capacitor, small symbol",""
"C3, ","1","10uF","C_Small","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","Unpolarized capacitor, small symbol",""
"C4, ","1","47uF","C_Small","Capacitor_THT:C_Radial_D6.3mm_H7.0mm_P2.50mm","Unpolarized capacitor, small symbol",""
"D1, D2, D3, D4, D5, D6, D7, D8, ","8","LED","LED_Small_Filled","LED_THT:LED_D5.0mm","Light emitting diode, small symbol, filled shape",""
"POT1, POT2, ","2","100k","R_Potentiometer_Small","Potentiometer_THT:Potentiometer_Vishay_T73YP_Vertical","Potentiometer",""
"R1, R2, R3, R4, R5, R6, R7, R8, ","8","100","R_Small","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor, small symbol",""
"SW1, ","1","SW_SPDT","SW_SPDT","Connector_JST:JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical","Switch, single pole double throw",""
"U1, ","1","LMC555CN","LMC555xN","Package_DIP:DIP-8_W7.62mm","CMOS Timer, 555 compatible, PDIP-8",""
"U2, ","1","SN74HC393N","74HC393","Package_DIP:DIP-14_W7.62mm","",""
"U3, ","1","CD74HC138E","CD74AC238","Package_DIP:DIP-16_W7.62mm","3-to-8 line decoder/multiplexer, SOIC-16",""
